,actual,predicted
263,7.25,[8.75406315]
264,4.25,[5.36847904]
265,3.55,[2.77581788]
266,1.55,[1.34108097]
267,7.5,[5.93205243]
268,6.5,[6.02558863]
269,5.2,[5.26423378]
270,7.21,[7.55587368]
271,3.89,[3.4905525]
272,4.55,[4.79050165]
273,35.67,[35.02407235]
274,4.3,[6.98834339]
275,5.9,[4.82175059]
276,3.7,[3.87054832]
277,3.8,[4.48860706]
278,5.75,[6.50617872]
279,2.8,[2.94100434]
280,2.5,[3.8516352]
281,4.75,[6.57107613]
282,3.6,[4.6943664]
283,5.95,[8.68819962]
284,2.49,[1.85058732]
285,7.75,[3.77984807]
286,9.88,[10.23405514]
287,4.4,[5.19142672]
288,1.1,[1.45884687]
289,4.5,[4.33249233]
290,3.26,[2.03233391]
291,8.09,[7.46360343]
292,2.65,[2.76451011]
293,5.95,[5.30571852]
294,3.9,[2.95721087]
295,7.5,[6.68500146]
296,8.25,[8.51412364]
297,4.74,[4.50142201]
298,7.5,[4.64138863]
299,6.0,[5.63829946]
300,12.0,[11.84035008]
301,2.55,[4.38652008]
302,22.45,[25.17885424]
303,3.3,[3.49937379]
304,3.5,[3.58321068]
305,5.5,[5.00270698]
306,23.91,[24.49973545]
307,12.26,[12.01871977]
308,6.5,[7.9418774]
309,29.0,[29.31158011]
310,10.25,[12.32151291]
311,7.5,[6.6953732]
312,3.25,[3.83252286]
313,2.9,[2.21907677]
314,8.5,[12.2570998]
315,2.95,[2.99592617]
316,3.5,[3.36245674]
317,6.36,[6.11129113]
318,6.1,[5.59033303]
319,2.1,[1.90659899]
320,5.4,[5.46495319]
321,22.0,[22.44509406]
322,25.0,[24.63094408]
323,5.5,[5.46967977]
324,17.08,[18.79663333]
325,6.6,[6.46306418]
326,1.95,[1.32260694]
327,3.04,[1.77059189]
328,9.75,[8.02300962]
329,7.49,[9.38257415]
330,5.1,[6.8993635]
331,24.5,[22.78252482]
332,5.1,[6.30499355]
333,4.56,[4.10982802]
334,1.99,[2.32549333]
335,4.4,[4.40571937]
336,2.49,[3.11406622]
337,16.5,[13.06663914]
338,5.5,[4.75301721]
339,5.65,[5.73022183]
340,6.35,[5.48816641]
341,5.25,[5.88437982]
342,11.9,[12.09582253]
343,2.78,[1.4199193]
344,2.8,[3.51198766]
345,3.25,[2.63897465]
346,1.0,[2.14466359]
347,3.32,[2.40692776]
348,1.45,[1.70727681]
349,7.65,[8.70562438]
350,4.1,[5.82217807]
351,41.6,[52.62778871]
352,3.5,[5.22375258]
353,6.37,[7.55409988]
354,3.0,[3.14256874]
355,12.81,[12.91300988]
356,45.0,[35.45099798]
357,3.2,[2.37319537]
358,49.0,[44.31605498]
359,5.9,[6.29840175]
360,38.0,[33.41795625]
361,6.97,[6.86831488]
362,4.75,[5.1477517]
363,4.99,[4.89332815]
364,4.12,[4.10704894]
365,3.0,[4.02762334]
366,6.2,[7.51622311]
367,33.5,[26.15966313]
368,8.46,[7.74238748]
369,37.0,[36.87812722]
370,2.7,[2.82299978]
371,6.95,[7.20810342]
372,19.0,[18.25692845]
373,9.47,[10.69330187]
374,6.75,[6.4301072]
375,26.0,[24.03847357]
376,4.3,[3.10033018]
377,6.86,[6.20650358]
378,9.27,[9.57072631]
379,3.0,[2.40140227]
380,5.95,[6.02522223]
381,5.6,[4.69429262]
382,5.45,[6.02016785]
383,28.95,[30.5390886]
384,10.44,[11.83048491]
385,13.83,[15.21012407]
386,6.2,[5.01222245]
387,7.72,[8.63866053]
388,12.5,[13.23464228]
389,11.49,[10.22051104]
390,24.5,[29.88518471]
391,4.5,[3.66185355]
392,0.8,[0.62501576]
393,6.3,[6.58325773]
394,6.5,[6.87931425]
395,13.25,[13.32880322]
396,3.0,[4.12438347]
397,7.25,[7.44714124]
398,1.65,[1.74927322]
399,8.29,[9.86719931]
400,1.25,[1.98849595]
401,2.1,[3.05144183]
402,6.22,[6.08963127]
403,6.95,[7.925191]
404,2.4,[1.77152352]
405,7.25,[6.67255936]
406,2.6,[1.56004347]
407,7.75,[8.84766477]
408,6.7,[6.79925578]
409,1.0,[0.97097515]
410,28.42,[26.6656969]
411,54.0,[62.02930231]
412,2.65,[1.70979361]
413,7.8,[6.28320773]
414,4.5,[4.09928618]
415,7.75,[8.16612398]
416,9.43,[10.02154907]
417,5.49,[5.39250228]
418,6.0,[1.71818015]
419,1.25,[2.05633379]
420,6.45,[6.91739903]
421,2.8,[4.00067381]
422,43.74,[35.22353972]
423,3.65,[5.04595068]
424,5.72,[5.77015898]
425,17.09,[12.18169035]
426,1.0,[1.1153546]
427,2.41,[3.29439405]
428,8.75,[8.49880669]
429,6.3,[6.12838092]
430,3.95,[2.52188735]
431,5.86,[6.04945629]
432,6.8,[7.38067114]
433,2.46,[1.97088411]
434,1.9,[2.43522244]
435,15.0,[15.18758888]
436,2.8,[3.2406312]
437,8.76,[9.39058392]
438,5.2,[4.90988293]
439,25.0,[25.7022201]
440,8.25,[8.032198]
441,6.13,[4.51381081]
442,39.51,[40.02343623]
443,26.0,[26.13838853]
444,5.4,[5.85757464]
445,11.5,[10.45144427]
446,1.55,[2.097127]
447,70.36,[57.3904566]
448,3.25,[3.13105942]
449,28.0,[29.90429023]
450,9.89,[9.08293288]
451,7.2,[6.38584775]
452,24.9,[19.06694126]
453,7.57,[8.30536769]
454,23.25,[23.64470306]
455,3.5,[3.94355275]
456,6.0,[7.45222421]
457,7.83,[11.4053636]
458,0.9,[4.37546346]
459,1.4,[2.00619971]
460,2.75,[3.32870383]
461,2.75,[3.64580294]
462,4.89,[3.72587993]
463,48.0,[44.7244196]
464,7.65,[7.17443716]
465,7.2,[7.35822622]
466,6.25,[5.04927734]
467,9.44,[9.57915986]
468,27.5,[25.54328409]
469,79.0,[67.1238143]
470,5.45,[5.370584]
471,16.68,[16.01160508]
472,2.6,[1.97306603]
473,11.5,[10.89350342]
474,4.92,[4.76169705]
475,24.63,[26.5048693]
476,8.25,[8.15031786]
477,17.5,[16.01040018]
478,5.39,[5.94037327]
479,26.0,[22.5288758]
480,1.3,[3.39762911]
481,33.0,[29.7985057]
482,13.54,[16.31473699]
483,3.7,[3.92347064]
484,13.34,[14.52748735]
485,12.5,[13.90487693]
486,23.86,[19.85969703]
487,21.37,[22.47934152]
488,11.5,[8.89128056]
489,21.0,[19.24285896]
490,68.94,[65.25114108]
491,9.1,[8.64584889]
492,4.9,[5.16777083]
493,1.9,[1.76752937]
494,12.5,[11.26109949]
495,16.75,[18.155503]
496,2.5,[1.24780332]
497,2.6,[2.94661664]
498,2.6,[3.28096189]
499,7.4,[6.79917548]
500,9.48,[9.65683703]
501,16.46,[16.70457195]
502,12.75,[14.71624268]
503,12.69,[12.24286454]
504,2.35,[1.83614946]
505,2.5,[3.21297216]
506,21.66,[25.12421947]
507,6.5,[6.05077246]
508,9.5,[9.83192153]
509,7.21,[5.06199947]
510,5.49,[4.4388539]
511,6.1,[7.0590338]
512,4.74,[4.91435914]
513,3.89,[4.33664321]
514,12.0,[19.82007637]
515,13.5,[13.57288811]
516,6.45,[6.00712998]
517,2.3,[2.39101428]
518,3.5,[2.44685231]
519,4.4,[4.5813353]
520,6.0,[5.93778201]
521,2.0,[1.87986309]
522,7.75,[12.39706141]
523,3.76,[4.9848417]
524,6.75,[6.1255068]
525,7.75,[8.63909064]
526,60.75,[59.26889835]
527,3.49,[3.46045539]
528,7.9,[8.32500456]
529,7.0,[6.81673055]
530,3.8,[2.76986005]
531,8.92,[9.50433608]
532,3.7,[3.18566221]
533,2.25,[2.26607301]
534,6.25,[4.96676853]
535,4.9,[5.81988664]
536,7.22,[7.05975626]
537,1.53,[-0.0314945]
538,4.65,[4.39803091]
539,7.89,[7.38994067]
540,3.55,[3.4579641]
541,18.0,[17.15077685]
542,9.25,[10.16681918]
543,8.2,[7.46169053]
544,2.65,[3.50690018]
545,57.0,[52.53712334]
546,14.19,[13.52559432]
547,17.63,[22.03208631]
548,8.0,[8.95950306]
549,4.5,[4.36297328]
550,17.0,[18.76675714]
551,22.75,[25.63733517]
552,10.25,[10.40607855]
553,5.5,[3.06298582]
554,16.0,[16.6312468]
555,2.5,[1.63318643]
556,16.0,[15.76660903]
557,2.4,[1.03952988]
558,5.5,[4.30070681]
559,9.03,[11.61344898]
560,4.31,[4.98045758]
561,17.5,[15.56686537]
562,17.85,[21.44751187]
563,5.0,[5.49532186]
564,3.95,[4.36748123]
565,6.48,[6.5653234]
566,3.2,[3.75350172]
567,14.0,[16.04827481]
568,9.45,[8.66253079]
569,4.0,[3.36430161]
570,7.95,[6.9485451]
571,4.11,[3.51119401]
572,5.6,[6.9976199]
573,6.98,[7.59285789]
574,5.0,[5.43244399]
575,14.0,[14.58276679]
576,3.31,[3.76562643]
577,1.6,[1.00893139]
578,3.6,[2.79746333]
579,1.97,[1.55094332]
580,2.5,[3.32980138]
581,13.5,[13.20738026]
582,6.0,[5.40395943]
583,13.0,[10.25994088]
584,4.7,[5.94566418]
585,3.01,[2.15300872]
586,8.3,[8.76684582]
587,3.2,[3.37002329]
588,13.5,[11.30998672]
589,3.45,[3.34876981]
590,4.2,[4.48453219]
591,11.0,[9.25079393]
592,3.1,[3.36134906]
593,6.16,[6.59312979]
594,22.24,[24.95075796]
595,7.58,[8.38166737]
596,8.0,[7.68797048]
597,20.57,[20.00590344]
598,29.0,[26.44916457]
599,12.6,[13.28415537]
600,4.0,[4.00596981]
601,8.5,[9.51887557]
602,6.35,[8.11356076]
603,8.15,[9.96394941]
604,52.0,[45.1119111]
605,17.0,[17.19974187]
606,3.5,[3.03678215]
607,17.5,[17.46629903]
608,45.77,[47.19965449]
609,5.99,[7.03787751]
610,7.39,[7.75234432]
611,11.5,[15.50965932]
612,32.0,[29.47331607]
613,2.5,[1.75687519]
614,6.5,[6.45212144]
615,3.7,[2.85480853]
616,3.35,[3.61019304]
617,4.5,[5.80202703]
618,16.25,[17.0066585]
619,7.7,[10.39290487]
620,1.8,[2.66608691]
621,3.25,[2.34878349]
622,4.42,[3.73819357]
623,6.92,[7.43197787]
624,6.17,[5.78454064]
625,6.5,[7.40423051]
626,4.35,[4.7702005]
627,19.0,[19.16290842]
628,4.65,[4.65022533]
629,3.5,[3.77256252]
630,4.75,[3.99898545]
631,4.75,[4.9133148]
632,5.49,[5.14171366]
633,33.66,[31.92919589]
634,11.0,[11.93172668]
635,5.5,[4.23870091]
636,31.0,[29.14593025]
637,3.5,[4.12385139]
638,4.95,[5.42407344]
639,11.5,[14.34571989]
640,6.0,[5.94053122]
641,3.1,[2.63669886]
642,6.5,[6.97021972]
643,1.95,[1.9657241]
644,1.9,[2.18648107]
645,2.25,[1.46145093]
646,29.95,[31.23198909]
647,36.15,[42.72258299]
648,14.85,[19.59052848]
649,5.7,[5.68920296]
650,5.9,[5.3684121]
651,5.35,[5.41203762]
652,5.2,[5.63195417]
653,8.0,[8.65700173]
654,3.1,[3.49662702]
655,4.45,[5.19527158]
656,6.5,[7.30891072]
657,3.85,[4.10775552]
658,6.32,[7.58348117]
659,24.22,[25.30959493]
660,3.1,[3.25954261]
661,27.0,[30.94834622]
662,3.3,[2.55688612]
663,10.36,[11.88700041]
664,16.0,[19.27448648]
665,59.65,[65.97794976]
666,11.5,[12.01898331]
667,8.89,[11.34837946]
668,2.5,[1.65687435]
669,8.99,[27.24934613]
670,42.91,[41.77302008]
671,4.25,[3.40338558]
672,35.0,[28.34216722]
673,56.8,[74.06298137]
674,8.0,[8.72466358]
675,2.5,[1.65853866]
676,4.5,[1.97626705]
677,0.9,[1.5209451]
678,0.8,[2.11320637]
679,17.11,[21.38390464]
680,5.43,[4.90572779]
681,5.1,[4.82559366]
682,7.07,[6.51398726]
683,19.8,[19.26543067]
684,5.75,[5.02086338]
685,3.9,[3.88994864]
686,15.0,[15.10525193]
687,2.5,[1.7527423]
688,3.95,[2.85206975]
689,5.09,[4.06869048]
690,6.69,[6.911862]
691,65.0,[58.2550996]
692,3.59,[4.04202508]
693,6.2,[5.64243857]
694,3.5,[4.37956908]
695,5.9,[6.73239889]
696,48.0,[48.52598992]
697,4.8,[4.26689169]
698,2.45,[2.93889099]
699,1.8,[1.35668411]
700,3.8,[5.21737798]
701,3.9,[3.62754759]
702,31.8,[36.02454117]
703,1.0,[1.95829872]
704,4.6,[4.21594335]
705,15.5,[16.19497018]
706,20.26,[20.14781042]
707,5.25,[6.54714126]
708,1.28,[1.33752059]
709,15.57,[16.99957577]
710,29.93,[37.04223129]
711,4.49,[3.5200677]
712,14.5,[12.64095213]
713,56.73,[50.84164095]
714,34.5,[34.38571245]
715,29.5,[26.47194247]
716,8.22,[6.37027262]
717,6.5,[6.28259529]
718,3.11,[3.02474563]
719,11.75,[9.8809886]
720,2.5,[2.71128536]
721,29.95,[26.66059911]
722,4.75,[4.4198768]
723,6.83,[7.19472894]
724,6.0,[5.31316295]
725,3.0,[2.83764754]
726,1.85,[1.28190037]
727,2.95,[3.09224642]
728,23.89,[23.07875191]
729,17.75,[19.23169703]
730,3.5,[1.48843213]
731,13.5,[13.62152508]
732,3.6,[3.54681503]
733,5.25,[3.96465817]
734,23.65,[21.93681128]
735,16.5,[19.70364218]
736,5.65,[5.10091076]
737,2.15,[2.92937723]
738,1.99,[3.52819717]
739,7.25,[9.27430458]
740,4.25,[4.87348771]
741,3.75,[4.83811942]
742,4.3,[2.51129188]
743,13.95,[13.91792864]
744,13.5,[12.84323702]
745,3.0,[1.99072257]
746,3.6,[3.96424841]
747,9.95,[8.721556]
748,8.85,[8.99645335]
749,2.2,[2.35658391]
750,5.5,[7.16449845]
751,8.4,[8.50085538]
752,6.16,[6.59457268]
753,3.68,[5.00508133]
754,19.48,[20.90585033]
755,31.0,[23.75790895]
756,12.99,[12.49552593]
757,8.09,[6.97113622]
758,6.57,[6.8300343]
759,6.25,[6.52188268]
760,24.75,[24.40825463]
761,1.8,[1.89895325]
762,6.5,[6.85330168]
763,4.75,[4.695053]
764,3.02,[2.05051129]
765,5.6,[4.9967824]
766,4.85,[4.1211245]
767,13.96,[14.31663743]
768,3.69,[3.73463283]
769,23.0,[24.26606663]
770,39.0,[31.17354136]
771,4.42,[3.90116832]
772,6.99,[7.31771353]
773,5.63,[4.95370349]
774,2.0,[0.54916987]
775,3.9,[3.40404477]
776,4.7,[4.11197315]
777,5.55,[5.62439105]
778,8.55,[7.46791324]
779,17.5,[21.56251904]
780,3.75,[4.12502893]
781,4.75,[5.3316651]
782,6.55,[5.7686553]
783,8.25,[13.27022337]
784,4.75,[4.60021476]
785,3.3,[4.79330463]
786,7.71,[9.55316878]
787,5.5,[8.38594544]
788,1.6,[1.53163855]
789,19.25,[20.74582123]
790,2.9,[1.8326874]
791,4.28,[4.5248224]
792,8.75,[9.16233017]
793,2.25,[1.12782512]
794,9.2,[9.14412503]
795,3.0,[2.42760902]
796,3.0,[3.89711927]
797,2.79,[3.08481117]
798,4.25,[5.60968904]
799,6.0,[4.55547816]
800,4.4,[4.48770353]
801,61.29,[62.19877122]
802,3.75,[2.13786493]
803,6.5,[8.98431949]
804,4.64,[4.45729964]
805,3.7,[3.19241976]
806,2.9,[2.95351016]
807,32.5,[27.17963596]
808,7.58,[7.02255732]
809,2.95,[1.99317079]
810,10.0,[10.91876215]
811,12.85,[13.17153225]
812,13.5,[16.59238952]
813,1.5,[0.18209687]
814,4.15,[4.7155714]
815,9.0,[7.98516858]
816,12.53,[11.94656303]
817,18.5,[21.34136797]
818,1.95,[1.73346178]
819,16.0,[21.5138235]
820,2.65,[2.45059218]
821,7.75,[8.98039327]
822,6.0,[5.84111538]
823,5.25,[4.82600036]
824,5.21,[4.91837816]
825,10.0,[9.56789898]
826,13.0,[12.47286016]
827,0.95,[0.66469116]
828,3.65,[4.44651843]
829,33.5,[35.51926346]
830,2.97,[1.72015379]
831,4.9,[4.67409697]
832,5.1,[4.28839126]
833,19.75,[18.64401825]
834,10.75,[11.10445694]
835,10.3,[10.55909313]
836,6.75,[7.57731076]
837,30.0,[30.32273851]
838,60.95,[54.87697811]
839,7.06,[7.7865764]
840,6.95,[7.74510582]
841,14.4,[14.85747832]
842,1.8,[2.1705322]
843,4.68,[5.05517365]
844,8.85,[7.7859049]
845,31.41,[32.92020076]
846,6.8,[5.7188149]
847,35.92,[33.71217358]
848,9.5,[7.61856859]
849,7.5,[7.28022053]
850,11.6,[11.9931424]
851,7.34,[7.22087274]
852,69.5,[60.05005325]
853,25.0,[27.72151624]
854,1.5,[1.86753585]
855,8.25,[10.84857896]
856,34.0,[27.07245806]
857,34.0,[34.86286289]
858,10.9,[11.50567405]
859,8.2,[9.27493956]
860,4.49,[3.51561154]
861,45.64,[45.47403324]
862,2.0,[2.14443376]
863,35.98,[35.4634612]
864,8.91,[7.56388505]
865,3.2,[2.87689147]
866,7.7,[9.85321347]
867,5.56,[5.30374653]
868,2.65,[2.57180513]
869,7.4,[8.01067892]
870,4.27,[3.43306618]
871,4.5,[3.52266322]
872,12.5,[16.14708821]
873,1.6,[0.11617628]
874,3.9,[3.00990602]
875,3.2,[3.93000172]
876,4.25,[5.07961576]
877,4.8,[3.58761196]
878,2.9,[2.37998305]
879,4.65,[5.51861485]
880,7.27,[6.92537155]
881,3.75,[3.70943457]
882,0.5,[4.18577687]
883,5.25,[4.36266814]
884,3.5,[4.0302226]
885,6.7,[6.96976702]
886,10.5,[7.13568702]
887,6.1,[5.46147247]
888,5.49,[6.52018041]
889,5.18,[4.61912378]
890,3.0,[3.47550484]
891,24.5,[26.81719691]
892,4.25,[3.96956709]
893,3.75,[4.52330932]
894,8.85,[8.48317136]
895,2.25,[1.57874031]
896,6.0,[5.82339621]
897,4.8,[6.17882873]
898,2.25,[1.74051863]
899,5.1,[6.12948653]
900,3.47,[1.88685423]
901,39.58,[35.13251156]
902,18.75,[17.74277375]
903,3.75,[3.9223646]
904,4.0,[3.99167624]
905,7.9,[8.47253687]
906,12.5,[11.71252417]
907,2.8,[2.83468511]
908,48.0,[49.71274699]
909,8.77,[8.60520397]
910,23.45,[26.70641429]
911,3.75,[3.3246863]
912,4.34,[5.22717629]
913,19.25,[21.32939817]
914,5.95,[6.5219307]
915,1.25,[0.33530869]
916,3.2,[3.42860957]
917,4.12,[5.3802073]
918,30.0,[40.70345631]
919,5.84,[4.89582781]
920,5.5,[4.26400548]
921,2.0,[3.04849199]
922,5.75,[10.01363555]
923,18.5,[17.18377175]
924,7.9,[8.23839232]
925,4.5,[5.3319269]
926,4.15,[4.28643571]
927,2.85,[1.77122212]
928,1.99,[1.54135969]
929,10.75,[12.4785544]
930,1.59,[1.35888215]
931,1.52,[2.16430323]
932,7.95,[8.36832824]
933,2.25,[0.11020033]
934,1.25,[1.40722325]
935,12.46,[11.85505205]
936,8.47,[8.0712815]
937,56.0,[48.42340506]
938,30.0,[31.50198795]
939,7.26,[6.86363652]
940,5.4,[5.92713758]
941,5.5,[5.40557357]
942,8.5,[8.92206191]
943,15.9,[15.47329317]
944,5.86,[5.67969276]
945,9.86,[9.83065745]
946,4.75,[5.70074762]
947,5.65,[5.05198839]
948,22.5,[25.05253604]
949,2.25,[3.49716662]
950,4.82,[4.36462557]
951,4.89,[5.35734002]
952,3.25,[3.02131156]
953,13.8,[13.67280639]
954,2.75,[2.72068854]
955,10.5,[12.9628766]
956,3.15,[2.66332427]
957,5.4,[5.74865631]
958,4.25,[4.75806172]
959,5.75,[5.2448339]
960,1.0,[1.27891249]
961,5.99,[5.98464416]
962,8.41,[9.59569186]
963,3.99,[4.00984618]
964,38.0,[40.16809977]
965,5.75,[5.288867]
966,15.75,[20.87566095]
967,13.5,[13.11192128]
968,2.65,[2.23424953]
969,35.0,[37.16485476]
970,2.7,[1.55959489]
971,6.8,[6.9724052]
972,3.0,[3.02403262]
973,4.16,[3.46586543]
974,4.63,[3.92282652]
975,6.14,[4.86178152]
976,19.5,[19.1517383]
977,4.21,[4.25880906]
978,8.2,[9.79532313]
979,7.19,[6.58552124]
980,5.25,[6.88591869]
981,1.1,[0.17869466]
982,1.2,[1.42053145]
983,7.0,[7.09654381]
984,15.0,[12.55512808]
985,4.25,[4.17276999]
986,16.5,[20.93378902]
987,5.49,[4.87282421]
988,8.0,[12.93365316]
989,6.0,[6.80569299]
990,6.18,[6.53691919]
991,4.0,[4.93912368]
992,8.25,[5.678703]
993,7.5,[8.70364869]
994,5.11,[4.84749429]
995,1.46,[0.84870173]
996,8.0,[9.23451961]
997,3.96,[3.72620234]
998,1.6,[0.92062136]
