,actual,predicted
241,3.1,[3.70193311]
242,30.0,[30.07794958]
243,3.5,[2.5773906]
244,8.2,[9.36977821]
245,8.9,[9.7269351]
246,5.65,[4.40611199]
247,4.55,[5.21711097]
248,3.6,[2.44522503]
249,8.65,[8.91568553]
250,6.9,[6.34526199]
251,24.0,[21.50122481]
252,7.51,[9.08772994]
253,2.25,[2.14709462]
254,4.9,[5.67997834]
255,7.7,[5.88282916]
256,6.96,[6.20877908]
257,3.5,[2.59340796]
258,28.45,[27.72912039]
259,6.2,[5.84061788]
260,6.82,[7.27440566]
261,15.0,[15.74062915]
262,11.0,[13.87307774]
263,7.25,[8.71488104]
264,4.25,[5.39489629]
265,3.55,[2.82526038]
266,1.55,[1.21381021]
267,7.5,[5.92732878]
268,6.5,[5.74991441]
269,5.2,[5.2639285]
270,7.21,[7.56411488]
271,3.89,[3.57861364]
272,4.55,[4.78195362]
273,35.67,[34.92684707]
274,4.3,[6.99894661]
275,5.9,[4.78473565]
276,3.7,[3.95058693]
277,3.8,[4.48369461]
278,5.75,[6.47581636]
279,2.8,[2.96399855]
280,2.5,[3.81188452]
281,4.75,[6.57867538]
282,3.6,[4.70536083]
283,5.95,[8.53869121]
284,2.49,[1.82088629]
285,7.75,[4.19631964]
286,9.88,[10.23579926]
287,4.4,[5.18792452]
288,1.1,[1.5001995]
289,4.5,[4.49898502]
290,3.26,[2.05041495]
291,8.09,[7.46642154]
292,2.65,[2.85694595]
293,5.95,[5.32863437]
294,3.9,[2.90728137]
295,7.5,[6.87362309]
296,8.25,[8.87782981]
297,4.74,[4.35626376]
298,7.5,[4.95128568]
299,6.0,[5.59450231]
300,12.0,[11.87873842]
301,2.55,[4.37720178]
302,22.45,[25.19558253]
303,3.3,[3.63857999]
304,3.5,[3.58231249]
305,5.5,[4.94307204]
306,23.91,[24.58752192]
307,12.26,[12.0305438]
308,6.5,[7.97865827]
309,29.0,[29.27724196]
310,10.25,[12.36742867]
311,7.5,[6.68661319]
312,3.25,[3.74339545]
313,2.9,[2.30795288]
314,8.5,[12.10975415]
315,2.95,[3.01401955]
316,3.5,[3.45010994]
317,6.36,[6.13432046]
318,6.1,[5.66798885]
319,2.1,[1.91464763]
320,5.4,[5.44009123]
321,22.0,[22.40439495]
322,25.0,[24.58766503]
323,5.5,[5.5088039]
324,17.08,[18.74816624]
325,6.6,[6.48016165]
326,1.95,[1.30445615]
327,3.04,[1.78431679]
328,9.75,[8.03181037]
329,7.49,[9.36128564]
330,5.1,[6.56310456]
331,24.5,[22.76338657]
332,5.1,[6.26279308]
333,4.56,[4.11521089]
334,1.99,[2.32059737]
335,4.4,[4.41501594]
336,2.49,[3.23248513]
337,16.5,[13.08791983]
338,5.5,[4.70060988]
339,5.65,[5.53020373]
340,6.35,[5.3679002]
341,5.25,[5.86201509]
342,11.9,[12.08571336]
343,2.78,[1.43984766]
344,2.8,[3.50527251]
345,3.25,[3.09885958]
346,1.0,[2.07015876]
347,3.32,[2.49256414]
348,1.45,[1.67061998]
349,7.65,[8.66456215]
350,4.1,[6.02747072]
351,41.6,[52.63370732]
352,3.5,[5.21961402]
353,6.37,[7.59763508]
354,3.0,[3.14375867]
355,12.81,[12.91581929]
356,45.0,[35.32213452]
357,3.2,[2.37651809]
358,49.0,[44.32912485]
359,5.9,[6.30228106]
360,38.0,[33.3967924]
361,6.97,[6.5630094]
362,4.75,[5.2246437]
363,4.99,[4.9293225]
364,4.12,[4.05682443]
365,3.0,[3.77212371]
366,6.2,[7.46595264]
367,33.5,[26.15502594]
368,8.46,[7.8253069]
369,37.0,[36.97819815]
370,2.7,[3.07070513]
371,6.95,[7.2209971]
372,19.0,[18.3526239]
373,9.47,[10.65776302]
374,6.75,[6.44548736]
375,26.0,[24.28749368]
376,4.3,[3.41832733]
377,6.86,[6.33935916]
378,9.27,[9.70621385]
379,3.0,[2.41077189]
380,5.95,[6.11692766]
381,5.6,[4.68155983]
382,5.45,[6.00547974]
383,28.95,[30.56944964]
384,10.44,[12.01512318]
385,13.83,[15.23057253]
386,6.2,[5.45070168]
387,7.72,[8.45886733]
388,12.5,[13.21980033]
389,11.49,[10.22604331]
390,24.5,[29.83545986]
391,4.5,[3.66194592]
392,0.8,[0.44239885]
393,6.3,[6.69037735]
394,6.5,[7.08041567]
395,13.25,[13.31810602]
396,3.0,[4.1576793]
397,7.25,[7.46074967]
398,1.65,[1.6331921]
399,8.29,[9.5401881]
400,1.25,[1.68956732]
401,2.1,[3.11852397]
402,6.22,[6.09815683]
403,6.95,[7.97323683]
404,2.4,[1.79130722]
405,7.25,[6.62449485]
406,2.6,[1.49231428]
407,7.75,[8.94263321]
408,6.7,[6.94843634]
409,1.0,[0.72988053]
410,28.42,[26.67039836]
411,54.0,[61.96872682]
412,2.65,[1.7038073]
413,7.8,[6.29085814]
414,4.5,[4.0536679]
415,7.75,[8.08943127]
416,9.43,[10.09438017]
417,5.49,[5.57679302]
418,6.0,[1.25820929]
419,1.25,[1.954046]
420,6.45,[6.95873567]
421,2.8,[3.90210209]
422,43.74,[35.1799587]
423,3.65,[5.11759154]
424,5.72,[5.77053353]
425,17.09,[11.93631628]
426,1.0,[1.12123055]
427,2.41,[3.32611588]
428,8.75,[8.44886513]
429,6.3,[6.22862057]
430,3.95,[2.89616611]
431,5.86,[6.06045766]
432,6.8,[7.36922437]
433,2.46,[1.98793778]
434,1.9,[2.41397479]
435,15.0,[15.29557202]
436,2.8,[3.2947782]
437,8.76,[9.39913228]
438,5.2,[4.85493386]
439,25.0,[25.70960713]
440,8.25,[8.04369166]
441,6.13,[4.42752024]
442,39.51,[39.98445927]
443,26.0,[26.0611366]
444,5.4,[6.01461411]
445,11.5,[10.24766231]
446,1.55,[2.14048139]
447,70.36,[57.50434922]
448,3.25,[2.99138663]
449,28.0,[29.48966925]
450,9.89,[9.21658652]
451,7.2,[6.56630371]
452,24.9,[18.88955245]
453,7.57,[8.42894563]
454,23.25,[23.57747724]
455,3.5,[3.90777287]
456,6.0,[7.55099845]
457,7.83,[11.39700797]
458,0.9,[4.30009251]
459,1.4,[1.99117213]
460,2.75,[2.96117993]
461,2.75,[3.650002]
462,4.89,[3.72547238]
463,48.0,[44.48897632]
464,7.65,[6.83027999]
465,7.2,[7.27585122]
466,6.25,[4.93050251]
467,9.44,[9.56247984]
468,27.5,[25.67155337]
469,79.0,[67.10473955]
470,5.45,[5.83657934]
471,16.68,[16.41001866]
472,2.6,[1.96546788]
473,11.5,[10.90041714]
474,4.92,[4.77242245]
475,24.63,[26.43615665]
476,8.25,[8.15485832]
477,17.5,[16.01561106]
478,5.39,[5.95439922]
479,26.0,[22.48316281]
480,1.3,[3.32022257]
481,33.0,[29.77207482]
482,13.54,[16.32443993]
483,3.7,[3.94332682]
484,13.34,[14.53375193]
485,12.5,[13.8932823]
486,23.86,[19.80658472]
487,21.37,[22.4981564]
488,11.5,[8.8265798]
489,21.0,[19.27258895]
490,68.94,[65.30060017]
491,9.1,[8.65015416]
492,4.9,[5.17442845]
493,1.9,[1.7069495]
494,12.5,[11.2182697]
495,16.75,[18.08985631]
496,2.5,[1.1530843]
497,2.6,[2.99998749]
498,2.6,[3.2849919]
499,7.4,[6.52938401]
500,9.48,[9.65370146]
501,16.46,[16.74235677]
502,12.75,[14.65714682]
503,12.69,[11.90068362]
504,2.35,[1.8246396]
505,2.5,[3.65591593]
506,21.66,[25.25353117]
507,6.5,[5.98935828]
508,9.5,[9.60721439]
509,7.21,[5.07320754]
510,5.49,[4.44101454]
511,6.1,[7.23336498]
512,4.74,[4.79329055]
513,3.89,[4.37416202]
514,12.0,[19.86431657]
515,13.5,[13.11411238]
516,6.45,[5.95591915]
517,2.3,[2.4828798]
518,3.5,[2.74947291]
519,4.4,[4.58877107]
520,6.0,[5.95233929]
521,2.0,[1.8537585]
522,7.75,[12.46261367]
523,3.76,[5.0756643]
524,6.75,[6.13594327]
525,7.75,[9.07842634]
526,60.75,[59.27745285]
527,3.49,[3.46843211]
528,7.9,[8.31958776]
529,7.0,[6.88456113]
530,3.8,[2.79718426]
531,8.92,[9.25638805]
532,3.7,[3.04438793]
533,2.25,[2.2902486]
534,6.25,[4.96934582]
535,4.9,[5.73552425]
536,7.22,[7.06375668]
537,1.53,[0.55750945]
538,4.65,[4.50704914]
539,7.89,[7.38233519]
540,3.55,[3.41962979]
541,18.0,[16.64357312]
542,9.25,[10.04345348]
543,8.2,[7.58341287]
544,2.65,[3.44910086]
545,57.0,[52.52839457]
546,14.19,[13.27208056]
547,17.63,[21.72828487]
548,8.0,[8.74238558]
549,4.5,[4.37463141]
550,17.0,[18.83205604]
551,22.75,[25.76177165]
552,10.25,[10.00402349]
553,5.5,[3.30338904]
554,16.0,[16.66347998]
555,2.5,[1.64699259]
556,16.0,[15.70569987]
557,2.4,[1.04216229]
558,5.5,[4.29941141]
559,9.03,[11.87274057]
560,4.31,[4.99559374]
561,17.5,[15.57003886]
562,17.85,[21.00346465]
563,5.0,[5.2974578]
564,3.95,[4.32909792]
565,6.48,[6.32801804]
566,3.2,[3.74625863]
567,14.0,[16.06582551]
568,9.45,[8.62378926]
569,4.0,[3.34566379]
570,7.95,[6.96104506]
571,4.11,[3.53387897]
572,5.6,[6.9573466]
573,6.98,[7.6094054]
574,5.0,[5.47680674]
575,14.0,[14.58470918]
576,3.31,[3.8227546]
577,1.6,[1.04389283]
578,3.6,[2.79103948]
579,1.97,[1.56332745]
580,2.5,[3.16052235]
581,13.5,[13.23744983]
582,6.0,[5.25879962]
583,13.0,[10.21952599]
584,4.7,[6.15005584]
585,3.01,[2.16620045]
586,8.3,[8.42769894]
587,3.2,[3.26504639]
588,13.5,[11.34235264]
589,3.45,[3.3676857]
590,4.2,[4.34702697]
591,11.0,[9.28475326]
592,3.1,[3.373282]
593,6.16,[6.59007187]
594,22.24,[24.89588684]
595,7.58,[8.4133006]
596,8.0,[7.56173035]
597,20.57,[20.00287562]
598,29.0,[26.42376758]
599,12.6,[13.26925493]
600,4.0,[3.71141579]
601,8.5,[9.51617418]
602,6.35,[8.10908139]
603,8.15,[10.21491082]
604,52.0,[45.13725859]
605,17.0,[17.09880509]
606,3.5,[3.11723552]
607,17.5,[17.47205166]
608,45.77,[47.12504572]
609,5.99,[7.09869936]
610,7.39,[7.54098816]
611,11.5,[15.16712012]
612,32.0,[29.47471972]
613,2.5,[1.66658567]
614,6.5,[6.49202814]
615,3.7,[2.90391431]
616,3.35,[3.64566134]
617,4.5,[5.80457488]
618,16.25,[17.02374128]
619,7.7,[10.42054893]
620,1.8,[2.64618122]
621,3.25,[2.35883731]
622,4.42,[3.9218629]
623,6.92,[7.21443323]
624,6.17,[5.75329908]
625,6.5,[7.42551656]
626,4.35,[4.77968866]
627,19.0,[19.22788989]
628,4.65,[4.65746808]
629,3.5,[3.80596256]
630,4.75,[4.58955695]
631,4.75,[4.86606079]
632,5.49,[5.26150307]
633,33.66,[31.72403285]
634,11.0,[11.80073485]
635,5.5,[4.2413819]
636,31.0,[29.23243154]
637,3.5,[4.12334369]
638,4.95,[5.43779424]
639,11.5,[14.50857858]
640,6.0,[5.87871304]
641,3.1,[2.64651806]
642,6.5,[6.73856877]
643,1.95,[1.9831109]
644,1.9,[1.91034834]
645,2.25,[1.4372188]
646,29.95,[31.22390671]
647,36.15,[42.75032902]
648,14.85,[19.30935611]
649,5.7,[5.67876989]
650,5.9,[5.35397368]
651,5.35,[5.43065051]
652,5.2,[5.6379833]
653,8.0,[8.66432497]
654,3.1,[3.48951187]
655,4.45,[5.18057254]
656,6.5,[7.51299976]
657,3.85,[4.11390189]
658,6.32,[7.38604019]
659,24.22,[25.07906302]
660,3.1,[3.31557054]
661,27.0,[30.93844661]
662,3.3,[2.61193614]
663,10.36,[11.86461487]
664,16.0,[19.16233689]
665,59.65,[65.99146782]
666,11.5,[12.03190149]
667,8.89,[11.57523413]
668,2.5,[1.70061443]
669,8.99,[27.24045547]
670,42.91,[41.28908582]
671,4.25,[3.39165314]
672,35.0,[28.48074554]
673,56.8,[74.20851026]
674,8.0,[8.6721039]
675,2.5,[1.37914892]
676,4.5,[1.59004306]
677,0.9,[1.91123934]
678,0.8,[2.26184396]
679,17.11,[21.37076148]
680,5.43,[4.91937474]
681,5.1,[4.84336658]
682,7.07,[6.54011966]
683,19.8,[19.27907243]
684,5.75,[5.42604868]
685,3.9,[3.83811119]
686,15.0,[15.13547521]
687,2.5,[1.67610873]
688,3.95,[2.99080477]
689,5.09,[4.07539798]
690,6.69,[7.20216425]
691,65.0,[58.27630662]
692,3.59,[4.04797326]
693,6.2,[5.64850553]
694,3.5,[4.19841925]
695,5.9,[6.91735741]
696,48.0,[48.59482467]
697,4.8,[4.30111771]
698,2.45,[2.96193183]
699,1.8,[1.40731014]
700,3.8,[5.10188086]
701,3.9,[3.57398113]
702,31.8,[35.9841756]
703,1.0,[1.85043218]
704,4.6,[4.22357875]
705,15.5,[16.175525]
706,20.26,[20.14995932]
707,5.25,[6.40955186]
708,1.28,[1.33172614]
709,15.57,[17.05791495]
710,29.93,[37.09875878]
711,4.49,[3.52014697]
712,14.5,[12.66790718]
713,56.73,[50.8422173]
714,34.5,[34.38792409]
715,29.5,[26.36616615]
716,8.22,[6.64974812]
717,6.5,[6.476627]
718,3.11,[3.04650703]
719,11.75,[9.83461949]
720,2.5,[2.63878576]
721,29.95,[26.74453063]
722,4.75,[4.45558932]
723,6.83,[7.22995017]
724,6.0,[5.27632134]
725,3.0,[2.81793998]
726,1.85,[1.35889818]
727,2.95,[3.125938]
728,23.89,[23.08981731]
729,17.75,[19.17934046]
730,3.5,[1.44982161]
731,13.5,[13.66202958]
732,3.6,[3.64032911]
733,5.25,[4.00112731]
734,23.65,[22.13384497]
735,16.5,[19.94036703]
736,5.65,[5.22819165]
737,2.15,[3.00168742]
738,1.99,[3.42499079]
739,7.25,[9.29688404]
740,4.25,[4.84633024]
741,3.75,[4.64914535]
742,4.3,[2.15458066]
743,13.95,[13.91480519]
744,13.5,[12.83613441]
745,3.0,[1.96797596]
746,3.6,[3.98601164]
747,9.95,[8.69949982]
748,8.85,[9.12889057]
749,2.2,[2.42339614]
750,5.5,[6.89738231]
751,8.4,[8.48319774]
752,6.16,[6.60702002]
753,3.68,[5.01784863]
754,19.48,[20.79077725]
755,31.0,[23.64318614]
756,12.99,[12.5113376]
757,8.09,[7.1368157]
758,6.57,[6.2456608]
759,6.25,[6.7808798]
760,24.75,[24.38809553]
761,1.8,[1.94132033]
762,6.5,[6.85277288]
763,4.75,[4.75535929]
764,3.02,[2.02024093]
765,5.6,[5.03754815]
766,4.85,[4.10806811]
767,13.96,[14.57396701]
768,3.69,[3.76839865]
769,23.0,[24.1205888]
770,39.0,[31.21020648]
771,4.42,[4.10441233]
772,6.99,[7.29810466]
773,5.63,[4.96384429]
774,2.0,[1.08022781]
775,3.9,[3.47396477]
776,4.7,[4.21197341]
777,5.55,[5.47413637]
778,8.55,[7.50016435]
779,17.5,[21.49745069]
780,3.75,[4.12764052]
781,4.75,[5.33136867]
782,6.55,[5.76072619]
783,8.25,[13.64918125]
784,4.75,[4.69105714]
785,3.3,[4.77087106]
786,7.71,[9.52397466]
787,5.5,[8.4036525]
788,1.6,[1.35114416]
789,19.25,[20.74161938]
790,2.9,[1.84862908]
791,4.28,[4.51500785]
792,8.75,[9.19395949]
793,2.25,[1.13320779]
794,9.2,[9.14804875]
795,3.0,[2.38290138]
796,3.0,[4.00487947]
797,2.79,[3.10359506]
798,4.25,[5.62537016]
799,6.0,[4.71683518]
800,4.4,[4.46667693]
801,61.29,[62.21068279]
802,3.75,[2.16857558]
803,6.5,[8.87597275]
804,4.64,[4.46036986]
805,3.7,[3.47984687]
806,2.9,[2.93127892]
807,32.5,[27.22570323]
808,7.58,[7.06469164]
809,2.95,[2.11718058]
810,10.0,[11.12024145]
811,12.85,[13.54523184]
812,13.5,[16.60377415]
813,1.5,[0.21012963]
814,4.15,[4.83631282]
815,9.0,[7.95343405]
816,12.53,[11.88778039]
817,18.5,[21.35913272]
818,1.95,[1.71458078]
819,16.0,[21.45892782]
820,2.65,[2.48188581]
821,7.75,[8.84440735]
822,6.0,[5.76606442]
823,5.25,[4.74532618]
824,5.21,[4.88388455]
825,10.0,[9.73960737]
826,13.0,[12.45604634]
827,0.95,[0.6527581]
828,3.65,[4.37875059]
829,33.5,[35.45200789]
830,2.97,[1.8038408]
831,4.9,[4.70901288]
832,5.1,[4.32512177]
833,19.75,[18.64007774]
834,10.75,[10.8123328]
835,10.3,[10.41743995]
836,6.75,[6.99936032]
837,30.0,[30.27428041]
838,60.95,[55.11085883]
839,7.06,[7.79959751]
840,6.95,[7.81445408]
841,14.4,[14.74121883]
842,1.8,[2.24555924]
843,4.68,[4.85332133]
844,8.85,[7.71405324]
845,31.41,[32.72582549]
846,6.8,[5.53319563]
847,35.92,[33.5831562]
848,9.5,[7.63052516]
849,7.5,[7.26596719]
850,11.6,[11.93622191]
851,7.34,[7.21439481]
852,69.5,[59.97226908]
853,25.0,[27.58897448]
854,1.5,[1.86733176]
855,8.25,[10.86205972]
856,34.0,[27.06760952]
857,34.0,[34.76849699]
858,10.9,[11.44082032]
859,8.2,[9.1715891]
860,4.49,[3.56258323]
861,45.64,[45.4234909]
862,2.0,[2.11424823]
863,35.98,[35.36629932]
864,8.91,[7.58392394]
865,3.2,[2.82974932]
866,7.7,[9.89535859]
867,5.56,[5.43333674]
868,2.65,[2.57537222]
869,7.4,[8.06660675]
870,4.27,[2.96597897]
871,4.5,[3.5286888]
872,12.5,[16.16283082]
873,1.6,[0.44225891]
874,3.9,[3.02922181]
875,3.2,[3.94173332]
876,4.25,[5.12190886]
877,4.8,[3.56892955]
878,2.9,[2.39367766]
879,4.65,[5.48826247]
880,7.27,[7.08350441]
881,3.75,[3.68076485]
882,0.5,[3.88773863]
883,5.25,[4.34363574]
884,3.5,[4.02627168]
885,6.7,[7.03919613]
886,10.5,[7.14549892]
887,6.1,[5.46971002]
888,5.49,[6.36275127]
889,5.18,[4.67761641]
890,3.0,[3.75973589]
891,24.5,[26.72106955]
892,4.25,[3.73404828]
893,3.75,[4.51984686]
894,8.85,[8.33938669]
895,2.25,[1.61288233]
896,6.0,[5.79789425]
897,4.8,[6.03199871]
898,2.25,[1.89478317]
899,5.1,[6.14486714]
900,3.47,[2.07734674]
901,39.58,[34.97055862]
902,18.75,[17.77440719]
903,3.75,[3.98328835]
904,4.0,[4.22081773]
905,7.9,[8.5680228]
906,12.5,[11.50389764]
907,2.8,[2.77742521]
908,48.0,[49.84190916]
909,8.77,[8.6997945]
910,23.45,[26.87851885]
911,3.75,[3.5507931]
912,4.34,[5.1823767]
913,19.25,[21.30643659]
914,5.95,[6.560009]
915,1.25,[0.0125494]
916,3.2,[3.4117435]
917,4.12,[5.29342371]
918,30.0,[40.82169789]
919,5.84,[4.89781001]
920,5.5,[4.28556435]
921,2.0,[3.05647042]
922,5.75,[10.08526138]
923,18.5,[17.18446379]
924,7.9,[8.58429689]
925,4.5,[5.34716088]
926,4.15,[4.28567143]
927,2.85,[1.86190451]
928,1.99,[1.50144313]
929,10.75,[12.40336072]
930,1.59,[1.38589525]
931,1.52,[2.15129856]
932,7.95,[8.37730426]
933,2.25,[0.0242168]
934,1.25,[1.25930109]
935,12.46,[11.85886284]
936,8.47,[8.12586781]
937,56.0,[48.41297981]
938,30.0,[31.57171393]
939,7.26,[6.87056339]
940,5.4,[5.95337896]
941,5.5,[5.11428803]
942,8.5,[8.7938743]
943,15.9,[15.48226092]
944,5.86,[5.52190607]
945,9.86,[10.20952196]
946,4.75,[5.71433475]
947,5.65,[5.00300081]
948,22.5,[25.07361233]
949,2.25,[3.51720635]
950,4.82,[4.54497484]
951,4.89,[5.31162253]
952,3.25,[3.08740588]
953,13.8,[14.03419013]
954,2.75,[2.44205033]
955,10.5,[12.94782391]
956,3.15,[2.41015719]
957,5.4,[5.71867594]
958,4.25,[4.72553268]
959,5.75,[5.09423426]
960,1.0,[1.21212331]
961,5.99,[6.00352435]
962,8.41,[9.45926721]
963,3.99,[4.02102135]
964,38.0,[40.12582811]
965,5.75,[5.44188303]
966,15.75,[20.82406751]
967,13.5,[13.14179738]
968,2.65,[2.36303085]
969,35.0,[37.25658104]
970,2.7,[1.74405199]
971,6.8,[6.87306364]
972,3.0,[2.99339056]
973,4.16,[3.38146915]
974,4.63,[3.83203352]
975,6.14,[4.84466593]
976,19.5,[19.13779449]
977,4.21,[4.25209019]
978,8.2,[9.89041344]
979,7.19,[6.76435743]
980,5.25,[6.89348816]
981,1.1,[0.05874667]
982,1.2,[1.44841554]
983,7.0,[7.08168846]
984,15.0,[12.56843986]
985,4.25,[4.10243188]
986,16.5,[20.94188485]
987,5.49,[4.80655056]
988,8.0,[12.99133128]
989,6.0,[6.81393597]
990,6.18,[6.53215156]
991,4.0,[4.92348108]
992,8.25,[5.57308401]
993,7.5,[8.83777959]
994,5.11,[4.83176046]
995,1.46,[1.02318249]
996,8.0,[9.24390365]
997,3.96,[3.66878476]
998,1.6,[1.03900984]
